Target,Accuracy,Overshoot,Distance
1,0.2414198875647684,10,19.72308292331602
2,0.6153846153846154,6,10.0
3,0.8613249509436927,3,3.605551275463989
4,0.6454021362579658,9,9.219544457292887
5,0.8461538461538461,4,4.0
